scene_token,attack,k,xgb_prob,top1_gene,top1_category,top_k_genes,ade_attacked,ade_mitigated,is_fail,is_flip,improvement_m
7f572219da4e5fd4,Dusk,5,0.40508073568344116,val_std,color,val_std|shadow_ratio|lbp_uniformity|lane_line_count|luma_entropy,4.432008266448975,3.4129045009613037,1,0,1.019103765487671
472899393e8f55e1,Dusk,5,0.5334165096282959,lbp_uniformity,edge_freq,lbp_uniformity|shadow_ratio|lane_line_count|glcm_contrast|sat_std,1.1791551113128662,0.6514766216278076,0,0,0.5276784896850586
73bc1971e0735c22,Dusk,5,0.44398829340934753,shadow_ratio,luma,shadow_ratio|sat_std|lbp_uniformity|lane_line_count|luma_entropy,0.8062795400619507,1.6800446510314941,0,0,-0.8737651109695435
676880c7e31252c0,Dusk,5,0.49817776679992676,lbp_uniformity,edge_freq,lbp_uniformity|sat_std|shadow_ratio|road_luma_std|edge_density,1.1393802165985107,0.9025331735610962,0,0,0.23684704303741455
0616f9723c60524d,Dusk,5,0.5439410209655762,lbp_uniformity,edge_freq,lbp_uniformity|road_luma_std|sat_std|shadow_ratio|lane_line_count,0.22311720252037048,1.0682698488235474,0,0,-0.8451526463031769
c672f1584cb75697,Dusk,5,0.4705931544303894,val_std,color,val_std|sat_std|shadow_ratio|lbp_uniformity|luma_entropy,0.3810659646987915,0.364582359790802,0,0,0.016483604907989502
efe0cf18491855e6,Dusk,5,0.34494560956954956,road_luma_std,luma,road_luma_std|lbp_uniformity|shadow_ratio|luma_entropy|lane_line_count,0.8421611785888672,7.0941643714904785,0,0,-6.252003192901611
616ead76f75f5b62,Dusk,5,0.6187974810600281,lbp_uniformity,edge_freq,lbp_uniformity|val_std|sat_std|shadow_ratio|glcm_contrast,1.053307056427002,0.6482570767402649,0,0,0.40504997968673706
ccd1908db4765e03,Dusk,5,0.7068281173706055,lbp_uniformity,edge_freq,lbp_uniformity|lane_line_count|lbp_entropy|sat_std|edge_density,3.6788058280944824,3.3123011589050293,1,0,0.3665046691894531
03269d4ad9e45809,Dusk,5,0.6078205704689026,lbp_uniformity,edge_freq,lbp_uniformity|sat_std|shadow_ratio|road_luma_std|luma_entropy,1.1403356790542603,2.6326117515563965,0,0,-1.4922760725021362
e309a82b568d5669,Dusk,5,0.5119150876998901,lbp_uniformity,edge_freq,lbp_uniformity|shadow_ratio|glcm_contrast|lane_line_count|luma_entropy,2.546398162841797,1.689274787902832,1,1,0.8571233749389648
d3d7a91aff375fc5,Dusk,5,0.6035531759262085,lbp_uniformity,edge_freq,lbp_uniformity|sat_std|shadow_ratio|road_luma_std|luma_entropy,0.8807108402252197,4.789941787719727,0,0,-3.909230947494507
6ef9b5c13bb952cd,Dusk,5,0.5158349871635437,lbp_uniformity,edge_freq,lbp_uniformity|shadow_ratio|lane_line_count|sat_std|road_luma_std,1.1645541191101074,1.1645541191101074,0,0,0.0
33fcb42a03535525,Dusk,5,0.11833050847053528,sat_std,color,sat_std|low_freq_ratio|lbp_uniformity|mean_luma|shadow_ratio,1.3307968378067017,0.8995864987373352,0,0,0.43121033906936646
dd2b5010e1d25d72,Dusk,5,0.643787682056427,lbp_uniformity,edge_freq,lbp_uniformity|sat_std|val_std|edge_density|glcm_contrast,5.920912742614746,7.692346096038818,1,0,-1.7714333534240723
7f86145a2a8a514b,Dusk,5,0.7438781261444092,lbp_uniformity,edge_freq,lbp_uniformity|lane_line_count|lbp_entropy|shadow_ratio|val_std,3.09897518157959,3.09897518157959,1,0,0.0
e5d91842b228552a,Dusk,5,0.7288104295730591,lbp_uniformity,edge_freq,lbp_uniformity|sat_std|lane_line_count|val_std|shadow_ratio,2.7177529335021973,0.9803581237792969,1,1,1.7373948097229004
55dab3d9ebd95046,Dusk,5,0.258762001991272,shadow_ratio,luma,shadow_ratio|lbp_uniformity|sat_std|mid_freq_ratio|lane_line_count,7.777175426483154,0.0,1,1,7.777175426483154
9c42f5a9d56c5ebf,Dusk,5,0.5333306789398193,lbp_uniformity,edge_freq,lbp_uniformity|shadow_ratio|road_luma_std|lane_line_count|sat_std,2.5686023235321045,1.548059344291687,1,1,1.0205429792404175
400a99ae89275e4d,Dusk,5,0.6640045046806335,val_std,color,val_std|lbp_uniformity|shadow_ratio|lane_line_count|sat_std,5.351846218109131,1.2305121421813965,1,1,4.121334075927734
