scene_token,attack,k,xgb_prob,top1_gene,top1_category,top_k_genes,ade_attacked,ade_mitigated,is_fail,is_flip,improvement_m
7f572219da4e5fd4,Rain,10,0.4895983040332794,lbp_entropy,edge_freq,lbp_entropy|shadow_ratio|mean_luma|hue_mean|low_freq_ratio|spectral_centroid|val_std|hue_std|mid_freq_ratio|high_freq_ratio,8.909494400024414,2.156895637512207,1,0,6.752598762512207
472899393e8f55e1,Rain,10,0.29385706782341003,shadow_ratio,luma,shadow_ratio|road_luma_std|hue_mean|lbp_entropy|mean_luma|luma_entropy|lane_line_count|val_std|hue_std|glcm_contrast,0.0,0.0,0,0,0.0
73bc1971e0735c22,Rain,10,0.29004377126693726,lbp_entropy,edge_freq,lbp_entropy|shadow_ratio|mean_luma|low_freq_ratio|mid_freq_ratio|glcm_contrast|spectral_centroid|high_freq_ratio|hue_mean|luma_entropy,1.6535098552703857,0.8527930378913879,0,0,0.8007168173789978
676880c7e31252c0,Rain,10,0.29700347781181335,lbp_entropy,edge_freq,lbp_entropy|shadow_ratio|lane_line_count|mean_luma|hue_std|edge_density|hue_mean|val_std|glcm_contrast|spectral_centroid,1.356801152229309,0.9025331735610962,0,0,0.4542679786682129
0616f9723c60524d,Rain,10,0.21336910128593445,shadow_ratio,luma,shadow_ratio|lbp_entropy|low_freq_ratio|mean_luma|high_freq_ratio|mid_freq_ratio|glcm_contrast|hue_std|hue_mean|luma_mean,0.8204939365386963,1.054288387298584,0,0,-0.2337944507598877
c672f1584cb75697,Rain,10,0.36759617924690247,shadow_ratio,luma,shadow_ratio|sat_std|lane_line_count|hue_std|lbp_entropy|mean_luma|glcm_contrast|luma_entropy|val_std|luma_mean,8.185181617736816,6.072011470794678,1,0,2.1131701469421387
efe0cf18491855e6,Rain,10,0.29571571946144104,road_luma_std,luma,road_luma_std|shadow_ratio|mid_freq_ratio|lane_line_count|mean_luma|luma_entropy|lbp_entropy|hue_std|edge_density|low_freq_ratio,1.8710306882858276,4.293034553527832,0,0,-2.4220038652420044
616ead76f75f5b62,Rain,10,0.09963460266590118,lane_line_count,other,lane_line_count|mean_luma|shadow_ratio|road_luma_std|hue_std|glcm_contrast|val_std|luma_mean|sat_mean|spectral_centroid,0.4442804753780365,0.6482570767402649,0,0,-0.2039766013622284
ccd1908db4765e03,Rain,10,0.3102906048297882,road_luma_std,luma,road_luma_std|shadow_ratio|lane_line_count|luma_skew|sat_mean|hue_std|val_std|mean_luma|edge_density|glcm_contrast,1.0315443277359009,0.7676959037780762,0,0,0.2638484239578247
03269d4ad9e45809,Rain,10,0.2262996882200241,shadow_ratio,luma,shadow_ratio|sat_std|mean_luma|hue_std|lane_line_count|luma_mean|mid_freq_ratio|lane_line_density|glcm_contrast|vehicle_loss,2.3588056564331055,1.1403356790542603,1,1,1.2184699773788452
e309a82b568d5669,Rain,10,0.13524867594242096,shadow_ratio,luma,shadow_ratio|lbp_entropy|val_std|hue_std|lane_line_count|hue_mean|mean_luma|glcm_contrast|luma_entropy|edge_density,4.392796993255615,2.827897310256958,1,0,1.5648996829986572
d3d7a91aff375fc5,Rain,10,0.1941489726305008,shadow_ratio,luma,shadow_ratio|sat_std|lane_line_count|mean_luma|hue_std|hue_mean|glcm_contrast|luma_entropy|val_std|edge_density,8.703227996826172,0.7143416404724121,1,1,7.98888635635376
6ef9b5c13bb952cd,Rain,10,0.1438487470149994,shadow_ratio,luma,shadow_ratio|hue_mean|road_luma_std|lbp_entropy|mean_luma|spectral_centroid|low_freq_ratio|glcm_contrast|hue_std|luma_entropy,5.424365043640137,2.689427375793457,1,0,2.7349376678466797
33fcb42a03535525,Rain,10,0.3928753733634949,shadow_ratio,luma,shadow_ratio|lbp_entropy|mean_luma|glcm_contrast|spectral_centroid|luma_entropy|low_freq_ratio|road_luma_std|high_freq_ratio|sat_std,1.0202723741531372,1.4304099082946777,0,0,-0.4101375341415405
dd2b5010e1d25d72,Rain,10,0.1473418027162552,sat_std,color,sat_std|lane_line_count|road_luma_std|hue_std|val_std|glcm_contrast|mean_luma|lane_line_density|luma_mean|edge_density,2.4071145057678223,6.379876613616943,1,0,-3.972762107849121
7f86145a2a8a514b,Rain,10,0.3343336582183838,shadow_ratio,luma,shadow_ratio|hue_mean|edge_density|mean_luma|road_luma_std|lane_line_count|hue_std|sat_mean|val_std|colorfulness,1.107774019241333,1.107774019241333,0,0,0.0
e5d91842b228552a,Rain,10,0.18831853568553925,hue_mean,color,hue_mean|road_luma_std|lane_line_count|edge_density|mean_luma|sat_mean|luma_mean|val_std|luma_skew|glcm_contrast,0.0,1.4404659271240234,0,0,-1.4404659271240234
55dab3d9ebd95046,Rain,10,0.3011370003223419,shadow_ratio,luma,shadow_ratio|lbp_entropy|sat_std|mean_luma|road_luma_std|low_freq_ratio|hue_std|glcm_contrast|mid_freq_ratio|std_shift,0.0,7.9559478759765625,0,0,-7.9559478759765625
9c42f5a9d56c5ebf,Rain,10,0.15399965643882751,shadow_ratio,luma,shadow_ratio|mean_luma|hue_mean|low_freq_ratio|lbp_entropy|edge_density|sat_mean|spectral_centroid|glcm_contrast|luma_entropy,1.2171093225479126,1.5006797313690186,0,0,-0.28357040882110596
400a99ae89275e4d,Rain,10,0.32595840096473694,lbp_entropy,edge_freq,lbp_entropy|low_freq_ratio|mid_freq_ratio|shadow_ratio|mean_luma|luma_skew|lane_line_count|edge_density|road_luma_std|glcm_contrast,8.591168403625488,0.3880402445793152,1,1,8.203128159046173
